game_id,season,game_timestamp,home_team_id,away_team_id,home_points,away_points,winning_team_id
100841,2025,2026-04-12 20:30:00.000000,592,486,110,128,486
100840,2025,2026-04-12 20:30:00.000000,386,662,105,119,662
100839,2025,2026-04-12 20:30:00.000000,789,108,110,105,789
100838,2025,2026-04-12 20:30:00.000000,933,460,126,142,460
100837,2025,2026-04-12 20:30:00.000000,604,162,136,134,604
100836,2025,2026-04-12 20:30:00.000000,908,750,127,138,750
100835,2025,2026-04-12 20:30:00.000000,709,740,115,103,709
100834,2025,2026-04-12 20:30:00.000000,430,547,118,106,430
100833,2025,2026-04-10 22:30:00.000000,162,604,118,128,604
100832,2025,2026-04-10 22:00:00.000000,662,709,113,102,662
100831,2025,2026-04-10 22:00:00.000000,547,750,108,112,750
100830,2025,2026-04-10 21:30:00.000000,386,908,112,107,386
100829,2025,2026-04-10 21:30:00.000000,486,788,146,111,486
100828,2025,2026-04-10 21:00:00.000000,933,554,119,130,554
100827,2025,2026-04-10 20:00:00.000000,985,740,113,108,985
100826,2025,2026-04-10 19:30:00.000000,789,727,103,119,727
100825,2025,2026-04-09 22:00:00.000000,108,789,124,118,108
100824,2025,2026-04-09 20:00:00.000000,592,162,99,118,162
100823,2025,2026-04-08 22:00:00.000000,933,829,96,128,829
100822,2025,2026-04-08 22:00:00.000000,662,680,119,113,662
100821,2025,2026-04-08 21:30:00.000000,162,908,139,120,162
100820,2025,2026-04-08 21:00:00.000000,430,592,116,97,430
100819,2025,2026-04-08 19:00:00.000000,891,740,104,124,740
100818,2025,2026-04-07 23:00:00.000000,547,788,156,137,547
100817,2025,2026-04-07 22:30:00.000000,750,740,132,120,750
100816,2025,2026-04-07 22:30:00.000000,789,662,116,117,662
100815,2025,2026-04-07 22:00:00.000000,486,727,139,96,486
100814,2025,2026-04-07 20:00:00.000000,908,317,149,128,908
100813,2025,2026-04-07 19:00:00.000000,604,933,136,119,604
100812,2025,2026-04-06 21:00:00.000000,829,108,115,123,108
100811,2025,2026-04-06 20:00:00.000000,162,430,112,101,162
100810,2025,2026-04-06 20:00:00.000000,662,788,140,106,662
100809,2025,2026-04-05 22:00:00.000000,162,709,115,102,162
100808,2025,2026-04-05 21:00:00.000000,326,547,144,118,326
100807,2025,2026-04-05 19:30:00.000000,727,386,101,73,727
100806,2025,2026-04-05 19:00:00.000000,430,108,122,110,430
100805,2025,2026-04-05 19:00:00.000000,604,486,127,107,604
100804,2025,2026-04-05 19:00:00.000000,592,908,116,103,592
100803,2025,2026-04-05 15:30:00.000000,680,933,131,115,680
100802,2025,2026-04-05 15:30:00.000000,789,460,111,118,460
100801,2025,2026-04-04 15:00:00.000000,317,386,110,120,386
100800,2025,2026-04-03 22:00:00.000000,108,547,117,113,108
100799,2025,2026-04-03 20:30:00.000000,604,430,137,132,604
100798,2025,2026-04-03 20:00:00.000000,727,788,131,107,727
100797,2025,2026-04-03 20:00:00.000000,740,541,108,122,541
100796,2025,2026-04-03 19:00:00.000000,486,386,103,135,386
100795,2025,2026-04-02 22:30:00.000000,740,547,132,126,740
100794,2025,2026-04-02 22:00:00.000000,662,933,132,101,662
100793,2025,2026-04-02 22:00:00.000000,541,386,127,107,541
100792,2025,2026-04-02 21:30:00.000000,788,604,117,130,604
100791,2025,2026-04-02 19:00:00.000000,592,789,115,110,592
100790,2025,2026-04-02 19:00:00.000000,727,486,87,123,486
100789,2025,2026-04-01 22:00:00.000000,789,162,113,127,162
100788,2025,2026-04-01 21:00:00.000000,108,592,109,138,592
100787,2025,2026-04-01 20:00:00.000000,788,933,147,101,788
100786,2025,2026-04-01 20:00:00.000000,662,740,132,136,740
100785,2025,2026-04-01 20:00:00.000000,908,727,134,128,908
100784,2025,2026-03-31 23:00:00.000000,430,788,124,114,430
100783,2025,2026-03-31 22:30:00.000000,727,317,142,130,727
100782,2025,2026-03-31 20:00:00.000000,326,486,119,109,326
100781,2025,2026-03-31 20:00:00.000000,662,789,113,115,789
100780,2025,2026-03-31 19:00:00.000000,273,108,116,99,273
100779,2025,2026-03-30 22:00:00.000000,788,604,125,128,604
100778,2025,2026-03-30 21:30:00.000000,162,317,129,114,162
100777,2025,2026-03-30 21:00:00.000000,430,680,130,99,430
100776,2025,2026-03-30 20:30:00.000000,217,789,126,110,217
100775,2025,2026-03-30 20:00:00.000000,933,326,112,117,326
100774,2025,2026-03-30 20:00:00.000000,365,662,118,123,662
100773,2025,2026-03-29 22:00:00.000000,727,554,110,97,727
100772,2025,2026-03-29 19:30:00.000000,908,460,105,138,460
100771,2025,2026-03-29 19:00:00.000000,750,386,115,111,750
100770,2025,2026-03-29 18:00:00.000000,829,547,119,106,829
100769,2025,2026-03-29 18:00:00.000000,789,273,109,106,789
100768,2025,2026-03-29 15:30:00.000000,891,933,106,125,933
100767,2025,2026-03-28 22:00:00.000000,108,273,126,122,108
100766,2025,2026-03-28 20:00:00.000000,430,891,131,111,430
100765,2025,2026-03-28 19:30:00.000000,541,933,124,101,541
100764,2025,2026-03-28 17:30:00.000000,604,789,116,93,604
100763,2025,2026-03-28 15:00:00.000000,662,217,117,95,662
100762,2025,2026-03-27 22:30:00.000000,985,547,129,108,985
100761,2025,2026-03-27 22:00:00.000000,273,933,126,115,273
100760,2025,2026-03-27 22:00:00.000000,604,554,103,142,554
100759,2025,2026-03-27 21:00:00.000000,486,326,104,102,486
100758,2025,2026-03-27 20:30:00.000000,788,829,127,143,829
100757,2025,2026-03-27 20:00:00.000000,592,108,109,118,108
100756,2025,2026-03-27 20:00:00.000000,727,740,120,106,727
100755,2025,2026-03-27 19:00:00.000000,217,430,135,101,217
100754,2025,2026-03-26 19:00:00.000000,750,727,104,105,727
100753,2025,2026-03-26 19:00:00.000000,365,788,112,122,788
100752,2025,2026-03-25 22:30:00.000000,740,933,117,110,740
100751,2025,2026-03-25 22:00:00.000000,829,386,122,115,829
100750,2025,2026-03-25 22:00:00.000000,788,554,117,134,554
100749,2025,2026-03-25 22:00:00.000000,789,592,101,114,592
100748,2025,2026-03-25 21:30:00.000000,662,430,106,99,662
100747,2025,2026-03-25 21:00:00.000000,108,709,118,139,709
100746,2025,2026-03-25 20:00:00.000000,985,727,113,110,985
100745,2025,2026-03-25 19:30:00.000000,547,460,106,111,460
100744,2025,2026-03-25 19:00:00.000000,317,486,108,116,486
100743,2025,2026-03-24 23:00:00.000000,386,317,103,105,317
100742,2025,2026-03-24 19:30:00.000000,604,740,108,117,740
100741,2025,2026-03-24 19:00:00.000000,788,789,119,116,788
