game_id,person_id,team_id,starter,seconds,points,fg2_made,fg2_attempted,fg3_made,fg3_attempted,ft_attempted,ft_made,offensive_reb,defensive_reb,assists,steals,blocks,turnovers,defensive_fouls,offensive_fouls
100247,73360,162,true,1624.3000000000002,6,2,2,0,8,4,2,1,3,5,2,0,1,2,0
100247,63732,486,false,1444.2000000000005,11,4,6,1,3,0,0,4,4,3,3,0,0,5,0
100247,49841,162,true,2195.0000000000005,22,5,8,3,7,4,3,1,1,4,2,1,1,4,0
100247,74962,486,true,1213.9,10,5,9,0,0,0,0,8,1,1,1,1,3,2,1
100247,69919,162,true,1461.9,2,1,3,0,0,0,0,5,3,1,1,0,0,1,0
100247,89156,486,true,2194.1000000000004,29,11,16,1,7,4,4,0,4,5,0,1,5,4,0
100247,22084,162,false,838.0000000000001,3,0,2,1,2,0,0,2,4,0,1,0,1,2,0
100247,33166,486,true,1300.0,3,0,1,1,6,0,0,0,3,2,0,1,0,3,0
100247,94374,162,true,1934.0,23,2,4,4,9,8,7,1,4,4,1,1,1,2,1
100247,72108,162,false,1593.1999999999998,3,0,0,1,5,0,0,0,8,2,0,1,1,1,0
100247,93251,486,false,717.6000000000001,0,0,0,0,4,0,0,0,1,0,0,0,1,1,0
100247,17023,486,true,1828.0,17,2,5,1,3,12,10,0,7,0,0,1,1,3,0
100247,60559,486,true,1961.8,17,3,11,2,5,6,5,1,6,4,4,0,2,2,0
100247,73255,486,false,670.8000000000001,6,1,2,1,3,1,1,0,3,0,1,0,0,0,0
100247,95149,162,false,1239.0,22,5,10,1,1,12,9,2,7,2,1,2,5,1,1
100247,69924,486,false,1613.2,7,2,2,1,5,0,0,0,3,1,2,0,1,4,0
100247,43237,162,true,2021.1,22,7,11,2,5,2,2,1,5,2,0,0,6,4,0
100247,28911,486,false,1456.4,9,1,3,1,1,4,4,1,5,4,2,0,1,0,0
100247,89399,162,false,1493.5,8,2,8,1,5,2,1,2,2,1,1,1,3,3,1
100293,46862,727,true,2173.9999999999995,26,7,12,1,5,14,9,1,2,4,2,2,8,1,2
100293,50214,727,true,1899.0,8,1,2,1,5,4,3,1,3,6,1,2,2,3,0
100293,46627,386,true,1880.0,27,7,12,0,5,16,13,1,5,7,1,1,1,3,0
100293,75591,386,false,1437.2,12,0,0,4,7,0,0,0,5,1,1,0,2,2,1
100293,29399,386,true,1471.8,18,2,2,4,7,2,2,0,1,0,1,0,3,4,1
100293,99241,386,true,2100.0999999999995,13,3,6,1,5,4,4,0,2,7,3,0,2,1,0
100293,31596,727,false,900.2,7,1,3,1,2,2,2,6,1,0,2,1,0,1,0
100293,40028,727,true,1808.8,20,10,11,0,0,2,0,6,7,0,2,1,3,3,1
100293,15951,727,true,2292.8,29,5,11,2,14,14,13,2,1,6,1,0,6,3,0
100293,10771,727,true,1858.0,3,0,1,1,4,0,0,2,5,1,2,0,0,3,0
100293,98154,727,false,1136.0,5,1,2,1,3,0,0,0,0,0,1,0,0,1,0
100293,28880,727,false,1059.0,12,4,4,0,0,5,4,3,6,2,0,0,2,0,1
100293,46411,386,false,152.0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1
100293,58609,386,false,1092.9,5,1,4,1,3,0,0,2,1,2,2,0,2,1,0
100293,29316,386,true,1734.0,20,9,10,0,0,3,2,3,3,1,0,3,1,2,0
100293,19338,386,false,361.0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
100293,27682,386,true,2199.4999999999995,10,2,4,2,5,0,0,1,2,6,1,0,1,4,0
100293,77460,727,false,1272.2,6,2,5,0,4,2,2,3,5,1,2,1,0,4,0
100293,68451,386,false,953.0,2,1,4,0,0,0,0,1,4,3,1,0,4,3,1
100293,80509,386,false,1018.5,5,1,2,1,4,0,0,2,2,2,1,1,2,3,0
100200,73914,592,true,1877.0,13,0,4,4,6,4,1,2,1,6,3,0,3,2,0
100200,58553,592,true,2199.0,21,8,13,1,5,2,2,1,3,3,1,0,2,2,0
100200,91739,933,false,1402.0,4,2,4,0,1,0,0,1,6,6,2,0,0,1,0
100200,21499,592,false,1136.9,7,0,2,2,4,2,1,2,1,3,0,0,1,1,0
100200,97239,592,true,1602.0000000000002,17,3,4,3,6,2,2,0,1,5,0,0,1,2,0
100200,11268,592,true,1985.1,6,3,6,0,0,0,0,3,10,2,0,1,4,2,1
100200,55480,592,true,1568.0000000000002,10,5,8,0,2,0,0,0,2,1,0,1,2,1,2
100200,33364,933,true,1964.9999999999995,31,9,13,4,5,2,1,0,4,4,2,5,2,3,0
100200,96469,933,false,1648.9999999999998,8,3,4,0,1,2,2,2,2,3,1,1,0,1,0
100200,62683,933,true,1258.0000000000002,12,3,10,1,2,3,3,1,2,4,1,1,1,1,0
100200,72654,933,true,1848.0000000000005,3,1,1,0,4,2,1,1,1,2,1,0,1,1,0
100200,86143,933,false,1100.0,8,1,1,2,6,0,0,1,0,3,1,0,0,3,0
100200,91554,592,false,1522.0000000000002,9,1,2,1,8,4,4,1,3,1,0,0,0,1,0
100200,32570,592,false,1312.0,10,2,3,1,3,4,3,4,2,3,0,0,2,1,0
100200,87835,933,false,102.0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
100200,21380,933,false,1800.9999999999998,27,2,3,7,10,2,2,1,2,6,1,0,1,4,0
100200,92859,592,false,220.0,3,1,1,0,0,2,1,0,0,2,0,0,0,0,0
100200,86086,933,true,1780.0000000000002,16,4,5,1,5,5,5,0,5,3,1,0,1,2,0
100200,84150,933,true,1393.0000000000002,12,4,5,1,4,1,1,1,1,2,0,0,4,3,1
100200,23317,592,false,758.0,5,1,1,1,2,0,0,0,2,0,0,0,2,0,0
100200,66569,933,false,102.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
100200,92723,592,false,220.0,2,0,0,0,0,2,2,0,1,0,0,0,1,0,0
100244,53770,662,true,2643.9999999999995,25,6,11,2,3,8,7,0,5,7,1,5,5,3,0
100244,23914,604,false,825.9999999999999,8,4,5,0,0,0,0,0,3,1,0,0,2,4,2
100244,41275,662,false,930.3,3,1,1,0,0,2,1,0,0,0,0,0,1,2,1
100244,27556,604,false,2397.7999999999997,13,2,2,2,8,3,3,0,1,2,2,0,0,2,0
100244,15209,662,false,392.0,1,0,0,0,0,2,1,0,2,0,0,0,0,0,0
100244,49218,604,true,2543.0,39,8,18,5,9,11,8,4,11,10,2,1,4,6,0
100244,40696,604,true,2588.8,35,6,12,3,5,15,14,0,3,5,0,0,3,3,0
100244,26444,604,false,1620.1999999999998,2,1,3,0,0,0,0,2,7,4,3,0,1,2,0
100244,35846,662,false,614.1,3,0,0,1,1,0,0,0,0,1,0,0,0,2,0
100244,59761,662,true,1663.1,16,5,6,2,3,1,0,2,2,0,2,0,3,3,0
100244,14883,604,true,2582.9999999999995,13,3,4,2,5,2,1,1,2,2,0,0,0,3,0
100244,59516,604,false,536.0,2,1,1,0,1,0,0,0,1,0,0,0,0,0,0
100244,12405,662,true,2548.9999999999995,33,14,25,0,2,6,5,4,6,10,2,1,4,3,2
100244,24144,662,true,2604.999999999999,16,2,5,4,6,0,0,2,8,4,0,1,2,4,0
100244,69598,604,true,351.0,5,1,2,1,2,0,0,0,0,0,1,0,0,1,0
100244,59688,662,true,2610.9,14,5,12,0,1,5,4,4,8,6,0,0,1,3,0
100244,78739,662,false,1891.6,14,2,8,3,9,2,1,0,3,1,2,1,0,2,0
100244,48957,604,true,2454.2,11,2,4,2,4,2,1,0,3,0,2,3,0,5,0
100262,94836,908,false,1258.1,12,0,1,4,9,0,0,0,2,0,1,0,0,1,0
100262,34114,788,false,927.0,0,0,4,0,0,0,0,0,1,2,1,0,2,3,1
100262,49758,908,false,1418.5,7,2,4,0,0,6,3,2,7,0,0,0,0,3,0
100262,95001,788,true,2384.9999999999995,33,10,17,1,6,12,10,2,14,5,4,1,1,2,1
100262,94795,908,true,2355.0999999999995,25,9,18,1,2,7,4,4,10,0,0,1,2,4,1
100262,53271,908,true,772.0,2,1,1,0,0,0,0,0,2,2,1,1,1,2,1
100262,30523,908,true,2174.0,15,6,9,1,3,0,0,0,3,1,1,0,0,1,0
100262,44626,908,false,805.9999999999999,6,2,4,0,0,4,2,5,2,0,1,1,1,2,0
